priority,surface,module,domain,execution_policy,method,clean_url,path,suggested_base_var,flags,source_file,name
P0-137,admin,kyc,kyc,manual_review,POST,{{admin_url}}/admin/kyc/update,/admin/kyc/update,{{admin_url}},,后台/kyc/更新 kyc - double.bru,更新 kyc - double
P0-138,unknown,kyc,kyc,manual_review,GET,/admin/promo/update,/admin/promo/update,,,活动/后台-活动管理/KYC通过送免费旋转/编辑.bru,编辑
P0-139,admin,kyc,kyc,manual_review,POST,{{admin_url}}/cmpl/kyc/approve,/cmpl/kyc/approve,{{admin_url}},,合规/kyc/kyc 审核通过 - owen.bru,kyc 审核通过 - owen
P0-140,admin,kyc,kyc,manual_review,POST,{{admin_url}}/cmpl/kyc/list,/cmpl/kyc/list,{{admin_url}},,合规/kyc/获取 kyc 列表 - owen.bru,获取 kyc 列表 - owen
P0-141,admin,kyc,kyc,manual_review,POST,{{admin_url}}/cmpl/kyc/reject,/cmpl/kyc/reject,{{admin_url}},,合规/kyc/kyc 审核驳回 - owen.bru,kyc 审核驳回 - owen
P0-142,admin,kyc,kyc,manual_review,POST,{{admin_url}}/cmpl/kyc/update,/cmpl/kyc/update,{{admin_url}},,合规/kyc/更新 kyc - owen.bru,更新 kyc - owen
P0-143,client,kyc,kyc,manual_review,POST,{{api_url}}/member/flutter/ocr/checkresult,/member/flutter/ocr/checkresult,{{api_url}},,前台/ocr-flutter/获取身份验证进程的运行状态和相关的验证结果.bru,获取身份验证进程的运行状态和相关的验证结果-double
P0-144,client,kyc,kyc,manual_review,POST,{{api_url}}/member/flutter/ocr/setup,/member/flutter/ocr/setup,{{api_url}},,前台/ocr-flutter/初始化ZOLOZ中的身份验证进程.bru,初始化ZOLOZ中的身份验证进程-double
P0-145,client,kyc,kyc,manual_review,POST,{{api_url}}/member/kyc/base,/member/kyc/base,{{api_url}},,前台/kyc/提交 kyc 基础信息 -- double-cold.bru,提交 kyc 基础信息 -- double/cold
P0-146,client,kyc,kyc,manual_review,POST,{{api_url}}/member/kyc/ekyc/callback,/member/kyc/ekyc/callback,{{api_url}},hardcoded_env,前台/kyc/ekyc回调.bru,ekyc回调
P0-147,client,kyc,kyc,manual_review,POST,{{api_url}}/member/kyc/insert,/member/kyc/insert,{{api_url}},,前台/kyc/提交 kyc -- double-cold-owen.bru,提交 kyc -- double/cold/owen
P0-148,client,kyc,kyc,manual_review,POST,{{api_url}}/member/kyc/shops,/member/kyc/shops,{{api_url}},,前台/kyc/获取门店列表 -- owen.bru,获取门店列表 -- owen
P0-149,client,kyc,kyc,manual_review,POST,{{api_url}}/member/kyc/v2/insert,/member/kyc/v2/insert,{{api_url}},"url_v2,hardcoded_env",前台/kyc/v2/insert.bru,提交 kyc v2 -- double/cold/owen
P0-150,client,kyc,kyc,manual_review,POST,{{api_url}}/member/ocr/checkresult,/member/ocr/checkresult,{{api_url}},,前台/ocr/获取身份验证进程的运行状态和相关的验证结果-double-owen.bru,获取身份验证进程的运行状态和相关的验证结果-double/owen
P0-151,client,kyc,kyc,manual_review,POST,{{api_url}}/member/ocr/setup,/member/ocr/setup,{{api_url}},,前台/ocr/初始化ZOLOZ中的身份验证进程.bru,初始化ZOLOZ中的身份验证进程-double
P0-152,admin,kyc,kyc,manual_review,POST,{{admin_url}}/member/oss/upload,/member/oss/upload,{{admin_url}},,前台/oss/上传 kyc 相关图片 - double.bru,上传 kyc 相关图片 - double
P0-153,client,kyc,kyc,review_only,GET,{{api_url}}/promo/rotate/bet/detail?pid=13&is_welfare=1,/promo/rotate/bet/detail,{{api_url}},"old_or_copy,hardcoded_env",活动/kyc送免费旋转/详情(老页面).bru,详情(老页面)
P0-154,client,member,member,safe_smoke,GET,{{api_url}}/member/agency/audit/results,/member/agency/audit/results,{{api_url}},hardcoded_env,前台/代理/代理审核结果.bru,代理审核结果
P0-155,client,member,member,safe_smoke,GET,{{api_url}}/member/agency/problem/list,/member/agency/problem/list,{{api_url}},hardcoded_env,前台/代理/代理申请问题列表.bru,代理申请问题列表
P0-156,client,member,member,safe_smoke,GET,{{api_url}}/member/detail,/member/detail,{{api_url}},hardcoded_env,前台/会员信息/获取会员信息-seven-aliang(20260424).bru,获取会员信息-seven-aliang(20260424)
P0-157,client,member,member,safe_smoke,GET,{{api_url}}/member/vip/level/detail,/member/vip/level/detail,{{api_url}},hardcoded_env,前台/VIP/会员vip等级详情.bru,会员vip等级详情
P0-158,client,promo,member,safe_smoke,GET,{{api_url}}/promo/vip/config,/promo/vip/config,{{api_url}},hardcoded_env,活动/Vip/vip配置.bru,vip配置
P0-159,client,promo,member,safe_smoke,GET,{{api_url}}/promo/vip/sign/in/config,/promo/vip/sign/in/config,{{api_url}},hardcoded_env,活动/Vip/签到配置.bru,签到配置
P0-160,client,member,member,manual_review,POST,{{api_url}}/member/agency/apply,/member/agency/apply,{{api_url}},,前台/会员信息/代理申请.bru,代理申请
P0-161,client,member,member,manual_review,POST,{{api_url}}/member/agency/apply/material,/member/agency/apply/material,{{api_url}},hardcoded_env,前台/代理/申请资料提交.bru,申请资料提交
P0-162,client,member,member,manual_review,POST,{{api_url}}/member/card/list,/member/card/list,{{api_url}},,前台/会员信息/会员卡片列表查询-owen.bru,会员卡片列表查询-owen
P0-163,client,member,member,manual_review,POST,{{api_url}}/member/card/update,/member/card/update,{{api_url}},,前台/会员信息/会员卡片列表更新-owen.bru,会员卡片列表更新-owen
P0-164,client,member,member,manual_review,POST,{{api_url}}/member/detail/update,/member/detail/update,{{api_url}},,前台/会员信息/会员信息修改-seven.bru,会员信息修改-seven
P0-165,client,member,member,review_only,GET,{{api_url}}/member/vip,/member/vip,{{api_url}},,前台/会员信息/会员vip信息-seven.bru,会员vip信息-seven
P0-166,client,member,member,review_only,GET,{{api_url}}/member/vip/rule,/member/vip/rule,{{api_url}},todo,前台/VIP/VIP配置规则-todo.bru,VIP配置规则-todo
